country,ssp_range,year_range,p0.05,p0.50,p0.95
"Bonaire, Sint Eustatius and Saba",SSP2-4.5,2040-2059,81.21,81.49,82.15
"Bonaire, Sint Eustatius and Saba",SSP2-4.5,2080-2099,81.50,82.40,83.37
Burkina Faso,SSP2-4.5,1986-2005,82.86,83.16,83.50
Burkina Faso,SSP2-4.5,2020-2039,83.98,84.61,85.20
Burkina Faso,SSP2-4.5,2040-2059,84.84,85.53,86.68
Burkina Faso,SSP2-4.5,2080-2099,85.63,87.07,87.98
Bangladesh,SSP2-4.5,1986-2005,77.75,78.08,78.46
Bangladesh,SSP2-4.5,2020-2039,77.94,78.94,79.61
Bangladesh,SSP2-4.5,2040-2059,78.66,79.93,80.78
Bangladesh,SSP2-4.5,2080-2099,80.14,81.21,82.31
Bulgaria,SSP2-4.5,1986-2005,51.32,52.01,52.78
Bulgaria,SSP2-4.5,2020-2039,54.13,54.91,55.99
Bulgaria,SSP2-4.5,2040-2059,54.79,55.53,57.22
Bulgaria,SSP2-4.5,2080-2099,55.59,57.01,58.71
Bahrain,SSP2-4.5,1986-2005,78.06,78.44,78.80
Bahrain,SSP2-4.5,2020-2039,80.18,80.61,81.52
Bahrain,SSP2-4.5,2040-2059,80.85,81.63,82.88
Bahrain,SSP2-4.5,2080-2099,81.53,83.04,84.44
Bahamas,SSP2-4.5,1986-2005,76.65,77.05,77.13
Bahamas,SSP2-4.5,2020-2039,78.03,78.26,78.72
Bahamas,SSP2-4.5,2040-2059,78.54,78.89,79.42
Bahamas,SSP2-4.5,2080-2099,79.05,79.83,80.86
Bosnia and Herzegovina,SSP2-4.5,1986-2005,49.79,50.41,51.03
Bosnia and Herzegovina,SSP2-4.5,2020-2039,52.54,53.05,54.20
Bosnia and Herzegovina,SSP2-4.5,2040-2059,52.93,54.00,55.56
Bosnia and Herzegovina,SSP2-4.5,2080-2099,53.74,55.29,57.17
Saint Barthélemy,SSP2-4.5,1986-2005,78.34,78.76,78.87
Saint Barthélemy,SSP2-4.5,2020-2039,79.68,80.08,80.44
Saint Barthélemy,SSP2-4.5,2040-2059,80.10,80.59,81.18
Saint Barthélemy,SSP2-4.5,2080-2099,80.68,81.44,82.61
Belarus,SSP2-4.5,1986-2005,42.20,43.36,44.36
Belarus,SSP2-4.5,2020-2039,45.09,46.20,47.93
Belarus,SSP2-4.5,2040-2059,46.12,47.23,49.66
Belarus,SSP2-4.5,2080-2099,46.87,48.74,50.99
Belize,SSP2-4.5,1986-2005,78.12,78.49,78.80
Belize,SSP2-4.5,2020-2039,79.64,79.96,80.46
Belize,SSP2-4.5,2040-2059,80.34,80.68,81.51
Belize,SSP2-4.5,2080-2099,80.50,81.64,82.97
Bermuda,SSP2-4.5,1986-2005,70.31,70.70,70.94
Bermuda,SSP2-4.5,2020-2039,71.65,72.04,72.64
Bermuda,SSP2-4.5,2040-2059,71.91,72.77,73.63
Bermuda,SSP2-4.5,2080-2099,72.53,73.64,74.98
"Bolivia, Plurinational State of",SSP2-4.5,1986-2005,61.97,62.21,62.46
"Bolivia, Plurinational State of",SSP2-4.5,2020-2039,63.68,64.07,64.63
"Bolivia, Plurinational State of",SSP2-4.5,2040-2059,64.29,65.02,65.85
"Bolivia, Plurinational State of",SSP2-4.5,2080-2099,65.22,66.49,67.71
Brazil,SSP2-4.5,1986-2005,76.16,76.49,76.66
Brazil,SSP2-4.5,2020-2039,77.75,77.95,78.46
Brazil,SSP2-4.5,2040-2059,78.30,78.78,79.35
Brazil,SSP2-4.5,2080-2099,78.90,79.89,81.13
Barbados,SSP2-4.5,1986-2005,78.91,79.25,79.47
Barbados,SSP2-4.5,2020-2039,80.18,80.58,80.99
Barbados,SSP2-4.5,2040-2059,80.75,81.04,81.65
Barbados,SSP2-4.5,2080-2099,81.12,81.92,83.01
Brunei Darussalam,SSP2-4.5,1986-2005,79.48,79.63,79.86
Brunei Darussalam,SSP2-4.5,2020-2039,80.68,80.92,81.29
