name,ssp_range,year_range,p0.05,p0.50,p0.95
"Iran, Islamic Republic of",SSP2-4.5,1986-2005,79.15,79.51,79.83
"Iran, Islamic Republic of",SSP2-4.5,2020-2039,81.08,82.20,82.91
"Iran, Islamic Republic of",SSP2-4.5,2040-2059,82.58,83.41,84.50
"Iran, Islamic Republic of",SSP2-4.5,2080-2099,83.24,85.40,86.83
Iraq,SSP2-4.5,1986-2005,94.28,94.76,95.08
Iraq,SSP2-4.5,2020-2039,96.35,97.78,98.42
Iraq,SSP2-4.5,2040-2059,98.10,98.88,100.08
Iraq,SSP2-4.5,2080-2099,98.83,101.18,102.92
Iceland,SSP2-4.5,1986-2005,46.57,48.37,49.50
Iceland,SSP2-4.5,2020-2039,48.09,50.14,52.33
Iceland,SSP2-4.5,2040-2059,49.06,50.84,53.23
Iceland,SSP2-4.5,2080-2099,48.79,51.59,54.78
Israel,SSP2-4.5,1986-2005,78.88,79.33,79.93
Israel,SSP2-4.5,2020-2039,81.30,81.89,82.70
Israel,SSP2-4.5,2040-2059,81.78,82.73,84.24
Israel,SSP2-4.5,2080-2099,82.64,84.32,85.48
Italy,SSP2-4.5,1986-2005,70.87,71.27,71.79
Italy,SSP2-4.5,2020-2039,73.59,74.25,75.48
Italy,SSP2-4.5,2040-2059,74.60,75.31,77.40
Italy,SSP2-4.5,2080-2099,74.95,77.32,79.71
Jamaica,SSP2-4.5,1986-2005,80.37,80.87,80.98
Jamaica,SSP2-4.5,2020-2039,81.87,82.23,82.74
Jamaica,SSP2-4.5,2040-2059,82.34,82.91,83.63
Jamaica,SSP2-4.5,2080-2099,82.99,83.86,85.08
Jersey,SSP2-4.5,1986-2005,59.42,60.27,60.77
Jersey,SSP2-4.5,2020-2039,60.74,62.22,63.77
Jersey,SSP2-4.5,2040-2059,61.76,62.89,65.05
Jersey,SSP2-4.5,2080-2099,61.70,63.74,66.22
Jordan,SSP2-4.5,1986-2005,78.90,79.29,79.81
Jordan,SSP2-4.5,2020-2039,81.49,81.98,82.82
Jordan,SSP2-4.5,2040-2059,82.24,82.88,84.37
Jordan,SSP2-4.5,2080-2099,83.02,84.89,86.13
Japan,SSP2-4.5,1986-2005,74.21,74.56,74.94
Japan,SSP2-4.5,2020-2039,75.94,76.62,77.22
Japan,SSP2-4.5,2040-2059,76.63,77.58,78.57
Japan,SSP2-4.5,2080-2099,76.95,78.81,80.07
Kazakhstan,SSP2-4.5,1986-2005,68.99,69.68,70.33
Kazakhstan,SSP2-4.5,2020-2039,71.32,72.36,73.87
Kazakhstan,SSP2-4.5,2040-2059,72.74,73.99,75.65
Kazakhstan,SSP2-4.5,2080-2099,74.07,75.39,77.24
Kenya,SSP2-4.5,1986-2005,70.11,70.41,70.67
Kenya,SSP2-4.5,2020-2039,71.52,71.90,72.27
Kenya,SSP2-4.5,2040-2059,72.24,72.72,73.32
Kenya,SSP2-4.5,2080-2099,72.96,73.77,74.96
Kyrgyzstan,SSP2-4.5,1986-2005,57.84,58.12,59.09
Kyrgyzstan,SSP2-4.5,2020-2039,59.89,60.56,61.92
Kyrgyzstan,SSP2-4.5,2040-2059,60.59,61.84,63.77
Kyrgyzstan,SSP2-4.5,2080-2099,62.08,63.51,65.57
Cambodia,SSP2-4.5,1986-2005,82.27,82.56,82.83
Cambodia,SSP2-4.5,2020-2039,83.40,83.88,84.37
Cambodia,SSP2-4.5,2040-2059,83.81,84.61,85.28
Cambodia,SSP2-4.5,2080-2099,84.26,85.54,86.97
Kiribati,SSP2-4.5,1986-2005,79.92,80.29,80.44
Kiribati,SSP2-4.5,2020-2039,81.11,81.48,81.99
Kiribati,SSP2-4.5,2040-2059,81.67,82.06,83.04
Kiribati,SSP2-4.5,2080-2099,82.28,83.04,84.06
Saint Kitts and Nevis,SSP2-4.5,1986-2005,79.82,80.38,80.63
Saint Kitts and Nevis,SSP2-4.5,2020-2039,81.32,81.78,82.13
Saint Kitts and Nevis,SSP2-4.5,2040-2059,81.63,82.24,82.75
Saint Kitts and Nevis,SSP2-4.5,2080-2099,82.20,82.99,84.31
"Korea, Republic of",SSP2-4.5,1986-2005,74.60,74.90,75.27
"Korea, Republic of",SSP2-4.5,2020-2039,76.16,77.04,77.95
"Korea, Republic of",SSP2-4.5,2040-2059,77.13,78.15,79.44
"Korea, Republic of",SSP2-4.5,2080-2099,77.61,79.60,81.55
Kuwait,SSP2-4.5,1986-2005,97.23,97.75,98.10
Kuwait,SSP2-4.5,2020-2039,99.52,100.41,101.08
Kuwait,SSP2-4.5,2040-2059,100.59,101.34,102.77
Kuwait,SSP2-4.5,2080-2099,101.30,103.04,104.83
Lao People's Democratic Republic,SSP2-4.5,1986-2005,78.00,78.39,78.56
Lao People's Democratic Republic,SSP2-4.5,2020-2039,79.25,79.67,80.19
Lao People's Democratic Republic,SSP2-4.5,2040-2059,79.80,80.47,81.33
Lao People's Democratic Republic,SSP2-4.5,2080-2099,80.49,81.30,83.02
Lebanon,SSP2-4.5,1986-2005,74.37,74.77,75.63
Lebanon,SSP2-4.5,2020-2039,76.65,77.32,78.19
Lebanon,SSP2-4.5,2040-2059,77.32,78.17,79.67
Lebanon,SSP2-4.5,2080-2099,78.16,79.73,81.51
Liberia,SSP2-4.5,1986-2005,76.02,76.17,76.32
Liberia,SSP2-4.5,2020-2039,77.29,77.49,77.79
Liberia,SSP2-4.5,2040-2059,77.81,78.09,78.72
Liberia,SSP2-4.5,2080-2099,78.39,79.18,80.05
Libya,SSP2-4.5,1986-2005,83.11,83.34,83.94
Libya,SSP2-4.5,2020-2039,85.62,86.05,86.77
Libya,SSP2-4.5,2040-2059,86.44,87.14,88.35
Libya,SSP2-4.5,2080-2099,87.25,88.62,90.30
Saint Lucia,SSP2-4.5,1986-2005,79.96,80.33,80.62
Saint Lucia,SSP2-4.5,2020-2039,81.40,81.68,82.11
Saint Lucia,SSP2-4.5,2040-2059,81.81,82.18,82.80
Saint Lucia,SSP2-4.5,2080-2099,82.36,82.99,84.16
Liechtenstein,SSP2-4.5,1986-2005,55.60,56.16,56.84
Liechtenstein,SSP2-4.5,2020-2039,58.10,58.97,59.82
Liechtenstein,SSP2-4.5,2040-2059,58.76,60.24,61.55
Liechtenstein,SSP2-4.5,2080-2099,58.79,61.58,63.12
Sri Lanka,SSP2-4.5,1986-2005,81.32,81.60,81.69
Sri Lanka,SSP2-4.5,2020-2039,82.36,82.73,83.02
Sri Lanka,SSP2-4.5,2040-2059,82.83,83.34,83.88
Sri Lanka,SSP2-4.5,2080-2099,83.44,84.21,85.38
Lesotho,SSP2-4.5,1986-2005,43.27,43.81,44.41
Lesotho,SSP2-4.5,2020-2039,44.54,45.43,46.10
Lesotho,SSP2-4.5,2040-2059,45.71,46.52,47.55
Lesotho,SSP2-4.5,2080-2099,46.64,47.64,49.75
Lithuania,SSP2-4.5,1986-2005,60.40,60.85,61.98
Lithuania,SSP2-4.5,2020-2039,62.32,63.84,65.28
Lithuania,SSP2-4.5,2040-2059,63.05,64.78,66.90
Lithuania,SSP2-4.5,2080-2099,64.08,65.87,68.69
Luxembourg,SSP2-4.5,1986-2005,60.89,61.34,62.23
Luxembourg,SSP2-4.5,2020-2039,62.98,63.93,65.37
Luxembourg,SSP2-4.5,2040-2059,63.68,65.13,66.72
Luxembourg,SSP2-4.5,2080-2099,64.42,66.79,67.78
Latvia,SSP2-4.5,1986-2005,59.56,60.32,61.46
Latvia,SSP2-4.5,2020-2039,61.70,63.18,65.25
Latvia,SSP2-4.5,2040-2059,62.50,64.24,66.90
Latvia,SSP2-4.5,2080-2099,63.43,65.00,68.79
Macao,SSP2-4.5,1986-2005,81.86,82.11,82.48
Macao,SSP2-4.5,2020-2039,82.96,83.39,84.06
Macao,SSP2-4.5,2040-2059,83.77,84.21,85.27
Macao,SSP2-4.5,2080-2099,84.44,85.26,86.43
Saint Martin (French part),SSP2-4.5,1986-2005,79.86,80.42,80.68
Saint Martin (French part),SSP2-4.5,2020-2039,81.37,81.88,82.24
Saint Martin (French part),SSP2-4.5,2040-2059,81.63,82.36,82.97
Saint Martin (French part),SSP2-4.5,2080-2099,82.25,83.07,84.37
Morocco,SSP2-4.5,1986-2005,74.71,75.38,75.82
Morocco,SSP2-4.5,2020-2039,76.56,77.43,78.66
Morocco,SSP2-4.5,2040-2059,77.54,78.39,79.57
Morocco,SSP2-4.5,2080-2099,78.31,79.78,81.47
Monaco,SSP2-4.5,1986-2005,68.93,69.54,70.10
Monaco,SSP2-4.5,2020-2039,71.56,72.41,73.38
Monaco,SSP2-4.5,2040-2059,72.80,73.58,75.19
Monaco,SSP2-4.5,2080-2099,73.28,75.30,77.62
"Moldova, Republic of",SSP2-4.5,1986-2005,68.09,69.02,70.16
"Moldova, Republic of",SSP2-4.5,2020-2039,71.16,72.39,73.66
"Moldova, Republic of",SSP2-4.5,2040-2059,71.93,73.50,75.63
"Moldova, Republic of",SSP2-4.5,2080-2099,72.75,74.85,77.77
Madagascar,SSP2-4.5,1986-2005,66.77,67.02,67.35
Madagascar,SSP2-4.5,2020-2039,68.03,68.30,68.81
Madagascar,SSP2-4.5,2040-2059,68.62,69.07,69.77
Madagascar,SSP2-4.5,2080-2099,68.86,69.96,70.91
Maldives,SSP2-4.5,1986-2005,80.47,80.64,80.83
Maldives,SSP2-4.5,2020-2039,81.54,81.77,82.09
Maldives,SSP2-4.5,2040-2059,82.09,82.46,82.88
Maldives,SSP2-4.5,2080-2099,82.70,83.41,84.36
Mexico,SSP2-4.5,1986-2005,75.28,75.61,75.93
Mexico,SSP2-4.5,2020-2039,76.88,77.45,77.86
Mexico,SSP2-4.5,2040-2059,77.79,78.45,78.93
Mexico,SSP2-4.5,2080-2099,78.47,79.76,80.97
Marshall Islands,SSP2-4.5,1986-2005,79.94,80.10,80.34
Marshall Islands,SSP2-4.5,2020-2039,81.06,81.26,81.89
Marshall Islands,SSP2-4.5,2040-2059,81.58,81.85,82.88
Marshall Islands,SSP2-4.5,2080-2099,82.04,82.76,83.83
North Macedonia,SSP2-4.5,1986-2005,67.74,68.57,68.91
North Macedonia,SSP2-4.5,2020-2039,70.79,72.04,73.15
North Macedonia,SSP2-4.5,2040-2059,71.64,73.09,75.08
North Macedonia,SSP2-4.5,2080-2099,72.59,75.33,77.41
Mali,SSP2-4.5,1986-2005,86.02,86.38,86.53
Mali,SSP2-4.5,2020-2039,87.16,87.85,88.69
Mali,SSP2-4.5,2040-2059,88.00,88.73,89.99
Mali,SSP2-4.5,2080-2099,88.96,90.56,92.06
Malta,SSP2-4.5,1986-2005,74.86,75.23,75.60
Malta,SSP2-4.5,2020-2039,76.99,77.79,78.45
Malta,SSP2-4.5,2040-2059,77.70,78.67,80.05
Malta,SSP2-4.5,2080-2099,78.14,80.06,81.50
Myanmar,SSP2-4.5,1986-2005,79.46,79.77,79.89
Myanmar,SSP2-4.5,2020-2039,80.33,80.88,81.24
Myanmar,SSP2-4.5,2040-2059,80.85,81.55,82.19
Myanmar,SSP2-4.5,2080-2099,81.41,82.41,83.60
Montenegro,SSP2-4.5,1986-2005,65.35,66.05,66.37
Montenegro,SSP2-4.5,2020-2039,68.48,69.25,70.02
Montenegro,SSP2-4.5,2040-2059,68.85,70.67,72.27
Montenegro,SSP2-4.5,2080-2099,69.71,72.25,74.27
Mongolia,SSP2-4.5,1986-2005,61.13,61.73,62.13
Mongolia,SSP2-4.5,2020-2039,63.71,64.82,65.96
Mongolia,SSP2-4.5,2040-2059,65.13,66.13,68.33
Mongolia,SSP2-4.5,2080-2099,65.56,67.62,70.52
Northern Mariana Islands,SSP2-4.5,1986-2005,80.81,80.99,81.34
Northern Mariana Islands,SSP2-4.5,2020-2039,81.85,82.22,82.70
Northern Mariana Islands,SSP2-4.5,2040-2059,82.49,82.84,83.57
Northern Mariana Islands,SSP2-4.5,2080-2099,82.92,83.53,84.69
Mozambique,SSP2-4.5,1986-2005,68.12,68.80,69.22
Mozambique,SSP2-4.5,2020-2039,69.85,70.27,70.81
Mozambique,SSP2-4.5,2040-2059,70.66,71.14,71.87
Mozambique,SSP2-4.5,2080-2099,71.08,72.11,73.67
Mauritania,SSP2-4.5,1986-2005,87.80,88.07,88.21
Mauritania,SSP2-4.5,2020-2039,89.19,89.71,90.18
Mauritania,SSP2-4.5,2040-2059,89.83,90.43,91.01
Mauritania,SSP2-4.5,2080-2099,90.51,91.62,92.84
Montserrat,SSP2-4.5,1986-2005,79.90,80.40,80.61
Montserrat,SSP2-4.5,2020-2039,81.38,81.78,82.12
Montserrat,SSP2-4.5,2040-2059,81.70,82.26,82.75
Montserrat,SSP2-4.5,2080-2099,82.31,82.97,84.31
Martinique,SSP2-4.5,1986-2005,79.50,79.94,80.20
Martinique,SSP2-4.5,2020-2039,80.98,81.25,81.69
Martinique,SSP2-4.5,2040-2059,81.32,81.75,82.35
Martinique,SSP2-4.5,2080-2099,81.93,82.52,83.75
Mauritius,SSP2-4.5,1986-2005,72.35,72.59,72.84
Mauritius,SSP2-4.5,2020-2039,73.12,73.51,74.00
Mauritius,SSP2-4.5,2040-2059,73.70,74.11,74.83
Mauritius,SSP2-4.5,2080-2099,74.16,74.85,75.68
Malawi,SSP2-4.5,1986-2005,65.26,65.90,66.29
Malawi,SSP2-4.5,2020-2039,67.01,67.25,68.10
Malawi,SSP2-4.5,2040-2059,67.76,68.28,69.06
Malawi,SSP2-4.5,2080-2099,67.92,69.25,70.91
Malaysia,SSP2-4.5,1986-2005,80.59,80.84,81.07
Malaysia,SSP2-4.5,2020-2039,81.74,82.05,82.35
Malaysia,SSP2-4.5,2040-2059,82.29,82.63,83.25
Malaysia,SSP2-4.5,2080-2099,82.82,83.68,84.85
Mayotte,SSP2-4.5,1986-2005,76.25,76.42,76.65
Mayotte,SSP2-4.5,2020-2039,77.23,77.47,77.93
Mayotte,SSP2-4.5,2040-2059,77.73,78.15,78.92
Mayotte,SSP2-4.5,2080-2099,78.23,79.05,79.73
Namibia,SSP2-4.5,1986-2005,62.25,62.86,63.22
Namibia,SSP2-4.5,2020-2039,63.91,64.45,65.41
Namibia,SSP2-4.5,2040-2059,65.02,65.57,66.91
Namibia,SSP2-4.5,2080-2099,65.79,66.93,68.94
New Caledonia,SSP2-4.5,1986-2005,68.95,69.25,69.52
New Caledonia,SSP2-4.5,2020-2039,69.79,70.29,70.62
New Caledonia,SSP2-4.5,2040-2059,69.98,70.71,71.38
New Caledonia,SSP2-4.5,2080-2099,70.66,71.47,72.60
Niger,SSP2-4.5,1986-2005,86.46,86.81,87.00
Niger,SSP2-4.5,2020-2039,87.44,88.19,89.29
Niger,SSP2-4.5,2040-2059,87.98,88.97,90.39
Niger,SSP2-4.5,2080-2099,89.20,90.44,92.48
Norfolk Island,SSP2-4.5,1986-2005,63.40,63.81,64.22
Norfolk Island,SSP2-4.5,2020-2039,64.32,64.93,65.27
Norfolk Island,SSP2-4.5,2040-2059,64.37,65.34,65.98
Norfolk Island,SSP2-4.5,2080-2099,65.19,66.15,67.21
Nigeria,SSP2-4.5,1986-2005,78.71,78.97,79.21
Nigeria,SSP2-4.5,2020-2039,79.76,80.09,80.81
Nigeria,SSP2-4.5,2040-2059,80.25,80.73,81.86
Nigeria,SSP2-4.5,2080-2099,81.15,81.97,83.55
Nicaragua,SSP2-4.5,1986-2005,78.60,78.88,79.24
Nicaragua,SSP2-4.5,2020-2039,79.76,80.52,81.20
Nicaragua,SSP2-4.5,2040-2059,80.46,81.41,82.20
Nicaragua,SSP2-4.5,2080-2099,81.25,82.52,84.16
Niue,SSP2-4.5,1986-2005,74.73,75.31,75.45
Niue,SSP2-4.5,2020-2039,75.58,76.13,76.60
Niue,SSP2-4.5,2040-2059,76.10,76.45,76.93
Niue,SSP2-4.5,2080-2099,76.44,76.99,78.24
Netherlands,SSP2-4.5,1986-2005,65.22,65.63,66.07
Netherlands,SSP2-4.5,2020-2039,66.81,67.69,68.62
Netherlands,SSP2-4.5,2040-2059,67.48,68.41,69.63
Netherlands,SSP2-4.5,2080-2099,67.99,69.44,71.47
Norway,SSP2-4.5,1986-2005,51.60,52.57,53.72
Norway,SSP2-4.5,2020-2039,53.65,54.78,55.73
Norway,SSP2-4.5,2040-2059,54.67,55.39,57.05
Norway,SSP2-4.5,2080-2099,54.79,56.29,59.04
Nepal,SSP2-4.5,1986-2005,76.21,76.87,77.21
Nepal,SSP2-4.5,2020-2039,77.30,77.81,78.50
Nepal,SSP2-4.5,2040-2059,77.96,78.57,79.67
Nepal,SSP2-4.5,2080-2099,78.86,80.21,81.05
Nauru,SSP2-4.5,1986-2005,80.19,80.58,80.82
Nauru,SSP2-4.5,2020-2039,81.45,81.83,82.53
Nauru,SSP2-4.5,2040-2059,81.96,82.39,83.79
Nauru,SSP2-4.5,2080-2099,82.49,83.53,84.79
New Zealand,SSP2-4.5,1986-2005,48.41,48.82,49.15
New Zealand,SSP2-4.5,2020-2039,49.28,49.83,50.27
New Zealand,SSP2-4.5,2040-2059,49.47,50.22,50.97
New Zealand,SSP2-4.5,2080-2099,50.29,51.08,52.03
Oman,SSP2-4.5,1986-2005,90.48,90.92,91.07
Oman,SSP2-4.5,2020-2039,92.10,92.57,93.30
Oman,SSP2-4.5,2040-2059,92.95,93.44,94.66
Oman,SSP2-4.5,2080-2099,93.44,94.62,96.44
Pakistan,SSP2-4.5,1986-2005,76.81,77.23,77.54
Pakistan,SSP2-4.5,2020-2039,78.03,78.84,79.75
Pakistan,SSP2-4.5,2040-2059,78.90,79.91,80.81
Pakistan,SSP2-4.5,2080-2099,80.00,81.62,82.94
Panama,SSP2-4.5,1986-2005,77.84,78.21,78.39
Panama,SSP2-4.5,2020-2039,79.10,79.53,79.88
Panama,SSP2-4.5,2040-2059,79.73,80.23,80.97
Panama,SSP2-4.5,2080-2099,80.37,81.14,82.29
Pitcairn,SSP2-4.5,1986-2005,70.31,70.67,71.20
Pitcairn,SSP2-4.5,2020-2039,71.10,71.40,71.82
Pitcairn,SSP2-4.5,2040-2059,71.17,71.71,72.17
Pitcairn,SSP2-4.5,2080-2099,71.85,72.37,72.89
Peru,SSP2-4.5,1986-2005,59.27,59.55,59.70
Peru,SSP2-4.5,2020-2039,60.98,61.36,61.80
Peru,SSP2-4.5,2040-2059,61.69,62.24,63.03
Peru,SSP2-4.5,2080-2099,62.19,63.50,64.77
Philippines,SSP2-4.5,1986-2005,79.99,80.24,80.37
Philippines,SSP2-4.5,2020-2039,81.01,81.44,81.80
Philippines,SSP2-4.5,2040-2059,81.50,82.00,82.61
Philippines,SSP2-4.5,2080-2099,81.86,82.82,83.90
Palau,SSP2-4.5,1986-2005,80.05,80.29,80.47
Palau,SSP2-4.5,2020-2039,81.27,81.45,81.89
Palau,SSP2-4.5,2040-2059,81.84,82.03,82.73
Palau,SSP2-4.5,2080-2099,82.25,82.92,83.77
Papua New Guinea,SSP2-4.5,1986-2005,73.02,73.33,73.47
Papua New Guinea,SSP2-4.5,2020-2039,74.36,74.52,74.87
Papua New Guinea,SSP2-4.5,2040-2059,74.76,75.15,75.68
Papua New Guinea,SSP2-4.5,2080-2099,75.19,75.96,77.13
Poland,SSP2-4.5,1986-2005,62.34,62.78,63.41
Poland,SSP2-4.5,2020-2039,64.54,65.67,66.64
Poland,SSP2-4.5,2040-2059,65.00,66.80,68.36
Poland,SSP2-4.5,2080-2099,65.55,67.75,70.06
Puerto Rico,SSP2-4.5,1986-2005,79.84,80.39,80.64
Puerto Rico,SSP2-4.5,2020-2039,81.30,81.85,82.16
Puerto Rico,SSP2-4.5,2040-2059,81.60,82.41,83.01
Puerto Rico,SSP2-4.5,2080-2099,82.26,83.07,84.35
"Korea, Democratic People's Republic of",SSP2-4.5,1986-2005,69.10,69.55,69.87
"Korea, Democratic People's Republic of",SSP2-4.5,2020-2039,71.00,72.16,72.80
"Korea, Democratic People's Republic of",SSP2-4.5,2040-2059,72.01,73.18,74.20
"Korea, Democratic People's Republic of",SSP2-4.5,2080-2099,72.71,74.63,76.11
Portugal,SSP2-4.5,1986-2005,68.53,69.29,69.70
Portugal,SSP2-4.5,2020-2039,70.45,71.34,72.59
Portugal,SSP2-4.5,2040-2059,71.50,72.20,73.76
Portugal,SSP2-4.5,2080-2099,71.64,73.97,75.77
Paraguay,SSP2-4.5,1986-2005,65.44,66.17,66.83
Paraguay,SSP2-4.5,2020-2039,66.58,67.85,68.91
Paraguay,SSP2-4.5,2040-2059,67.50,68.48,70.51
Paraguay,SSP2-4.5,2080-2099,67.66,69.69,71.77
"Palestine, State of",SSP2-4.5,1986-2005,79.54,79.97,80.53
"Palestine, State of",SSP2-4.5,2020-2039,82.03,82.57,83.37
"Palestine, State of",SSP2-4.5,2040-2059,82.49,83.46,84.91
"Palestine, State of",SSP2-4.5,2080-2099,83.39,85.14,86.21
French Polynesia,SSP2-4.5,1986-2005,75.78,76.03,76.31
French Polynesia,SSP2-4.5,2020-2039,76.65,76.99,77.26
French Polynesia,SSP2-4.5,2040-2059,77.10,77.48,78.00
French Polynesia,SSP2-4.5,2080-2099,77.57,78.09,78.86
Qatar,SSP2-4.5,1986-2005,92.54,92.98,93.26
Qatar,SSP2-4.5,2020-2039,94.41,95.18,95.98
Qatar,SSP2-4.5,2040-2059,95.15,96.05,97.38
Qatar,SSP2-4.5,2080-2099,95.85,97.55,99.40
Réunion,SSP2-4.5,1986-2005,67.02,67.17,67.55
Réunion,SSP2-4.5,2020-2039,67.80,68.20,68.63
Réunion,SSP2-4.5,2040-2059,68.48,68.81,69.42
Réunion,SSP2-4.5,2080-2099,68.88,69.53,70.29
Romania,SSP2-4.5,1986-2005,66.86,67.56,68.33
Romania,SSP2-4.5,2020-2039,69.96,71.01,71.57
Romania,SSP2-4.5,2040-2059,70.74,72.28,73.59
Romania,SSP2-4.5,2080-2099,71.54,73.78,76.20
Russian Federation,SSP2-4.5,1986-2005,61.10,62.09,62.66
Russian Federation,SSP2-4.5,2020-2039,63.84,64.74,66.41
Russian Federation,SSP2-4.5,2040-2059,64.71,65.97,67.93
Russian Federation,SSP2-4.5,2080-2099,66.19,67.39,70.15
Rwanda,SSP2-4.5,1986-2005,66.34,66.68,66.87
Rwanda,SSP2-4.5,2020-2039,67.88,68.28,68.71
Rwanda,SSP2-4.5,2040-2059,68.58,69.20,70.12
Rwanda,SSP2-4.5,2080-2099,69.25,70.60,72.41
Saudi Arabia,SSP2-4.5,1986-2005,89.57,90.00,90.27
Saudi Arabia,SSP2-4.5,2020-2039,91.82,92.48,93.30
Saudi Arabia,SSP2-4.5,2040-2059,92.72,93.61,94.73
Saudi Arabia,SSP2-4.5,2080-2099,93.46,95.27,96.55
Sudan,SSP2-4.5,1986-2005,84.97,85.25,85.69
Sudan,SSP2-4.5,2020-2039,86.27,86.95,87.77
Sudan,SSP2-4.5,2040-2059,86.64,87.67,89.07
Sudan,SSP2-4.5,2080-2099,87.95,89.05,90.92
Senegal,SSP2-4.5,1986-2005,83.43,83.71,83.94
Senegal,SSP2-4.5,2020-2039,84.77,85.02,85.45
Senegal,SSP2-4.5,2040-2059,85.17,85.68,86.31
Senegal,SSP2-4.5,2080-2099,85.85,86.71,87.85
Singapore,SSP2-4.5,1986-2005,80.69,80.88,80.97
Singapore,SSP2-4.5,2020-2039,81.81,82.06,82.42
Singapore,SSP2-4.5,2040-2059,82.35,82.72,83.40
Singapore,SSP2-4.5,2080-2099,82.98,83.81,84.87
South Georgia and the South Sandwich Islands,SSP2-4.5,1986-2005,24.73,25.47,26.07
South Georgia and the South Sandwich Islands,SSP2-4.5,2020-2039,25.44,26.02,26.93
South Georgia and the South Sandwich Islands,SSP2-4.5,2040-2059,26.02,26.45,27.65
South Georgia and the South Sandwich Islands,SSP2-4.5,2080-2099,26.01,27.13,28.26
"Saint Helena, Ascension and Tristan da Cunha",SSP2-4.5,1986-2005,65.95,66.17,66.45
"Saint Helena, Ascension and Tristan da Cunha",SSP2-4.5,2020-2039,66.82,67.03,67.53
"Saint Helena, Ascension and Tristan da Cunha",SSP2-4.5,2040-2059,67.38,67.66,68.04
"Saint Helena, Ascension and Tristan da Cunha",SSP2-4.5,2080-2099,67.64,68.34,69.21
Solomon Islands,SSP2-4.5,1986-2005,78.62,78.86,79.06
Solomon Islands,SSP2-4.5,2020-2039,79.70,80.04,80.40
Solomon Islands,SSP2-4.5,2040-2059,80.28,80.51,81.27
Solomon Islands,SSP2-4.5,2080-2099,80.74,81.45,82.22
Sierra Leone,SSP2-4.5,1986-2005,76.61,76.78,76.91
Sierra Leone,SSP2-4.5,2020-2039,77.85,78.15,78.49
Sierra Leone,SSP2-4.5,2040-2059,78.36,78.83,79.39
Sierra Leone,SSP2-4.5,2080-2099,79.03,79.82,80.67
El Salvador,SSP2-4.5,1986-2005,78.33,78.78,79.21
El Salvador,SSP2-4.5,2020-2039,79.82,80.43,81.27
El Salvador,SSP2-4.5,2040-2059,80.09,81.36,82.73
El Salvador,SSP2-4.5,2080-2099,81.10,82.75,84.35
San Marino,SSP2-4.5,1986-2005,70.23,70.91,71.49
San Marino,SSP2-4.5,2020-2039,73.16,73.99,75.61
San Marino,SSP2-4.5,2040-2059,74.26,75.34,77.74
San Marino,SSP2-4.5,2080-2099,74.93,77.33,79.90
Somalia,SSP2-4.5,1986-2005,80.14,80.60,80.97
Somalia,SSP2-4.5,2020-2039,81.58,81.91,82.33
Somalia,SSP2-4.5,2040-2059,82.04,82.61,83.52
Somalia,SSP2-4.5,2080-2099,82.70,83.62,84.94
Saint Pierre and Miquelon,SSP2-4.5,1986-2005,53.72,54.54,55.35
Saint Pierre and Miquelon,SSP2-4.5,2020-2039,56.02,57.36,58.69
Saint Pierre and Miquelon,SSP2-4.5,2040-2059,56.95,58.68,60.14
Saint Pierre and Miquelon,SSP2-4.5,2080-2099,57.25,60.18,62.98
Serbia,SSP2-4.5,1986-2005,68.21,68.93,69.40
Serbia,SSP2-4.5,2020-2039,71.30,72.30,73.21
Serbia,SSP2-4.5,2040-2059,71.60,73.63,76.00
Serbia,SSP2-4.5,2080-2099,72.58,75.21,77.62
South Sudan,SSP2-4.5,1986-2005,78.51,78.87,79.35
South Sudan,SSP2-4.5,2020-2039,79.48,80.21,80.92
South Sudan,SSP2-4.5,2040-2059,80.19,80.97,82.16
South Sudan,SSP2-4.5,2080-2099,81.11,82.05,83.94
Sao Tome and Principe,SSP2-4.5,1986-2005,75.94,76.08,76.32
Sao Tome and Principe,SSP2-4.5,2020-2039,77.19,77.37,77.89
Sao Tome and Principe,SSP2-4.5,2040-2059,77.70,78.06,78.64
Sao Tome and Principe,SSP2-4.5,2080-2099,78.28,78.96,80.09
Suriname,SSP2-4.5,1986-2005,79.16,79.68,79.88
Suriname,SSP2-4.5,2020-2039,80.73,81.06,81.58
Suriname,SSP2-4.5,2040-2059,81.01,81.85,82.85
Suriname,SSP2-4.5,2080-2099,81.98,82.88,84.50
Slovakia,SSP2-4.5,1986-2005,63.63,63.93,64.74
Slovakia,SSP2-4.5,2020-2039,66.42,67.35,67.99
Slovakia,SSP2-4.5,2040-2059,66.79,68.38,70.53
Slovakia,SSP2-4.5,2080-2099,67.56,69.71,72.01
Slovenia,SSP2-4.5,1986-2005,65.38,66.14,66.88
Slovenia,SSP2-4.5,2020-2039,68.54,69.16,69.96
Slovenia,SSP2-4.5,2040-2059,69.33,70.50,72.29
Slovenia,SSP2-4.5,2080-2099,69.62,72.03,74.04
Sweden,SSP2-4.5,1986-2005,57.48,58.26,59.29
Sweden,SSP2-4.5,2020-2039,59.78,60.52,62.00
Sweden,SSP2-4.5,2040-2059,60.58,61.77,63.50
Sweden,SSP2-4.5,2080-2099,61.05,62.52,64.80
Eswatini,SSP2-4.5,1986-2005,60.50,61.14,61.61
Eswatini,SSP2-4.5,2020-2039,62.03,62.69,63.23
Eswatini,SSP2-4.5,2040-2059,62.77,63.59,64.32
