Field Name,Country,Country_iso3,Region,Latitude,Longitude,Location,gwp,ch4_gwp_potential,Upstream Methane Emission Rate (NGSI Standard %),Upstream Methane Intensity (kgCH4/boe),Midstream Methane Intensity (kgCH4/boe),Downstream Methane Intensity (kgCH4/boe),Upstream Carbon Dioxide Intensity (kgCO2/boe),Midstream Carbon Dioxide Intensity (kgCO2/boe),Downstream Carbon Dioxide Intensity (kgCO2/boe),Total Emissions Intensity (kgCO2eq/boe),Total Carbon Dioxide Intensity (kgCO2/boe),Industry GHG Responsibility (kgCO2eq/boe),Consumer GHG Responsibility (kgCO2eq/boe),Sulfur Content Weight Percent,API Category,Enhanced recovery,Fracked,Dry Gas,Flaring-to-Oil Ratio (scf flared/bbl),Energy Output of Oil and Gas Produced (MJ/d),Energy Output of Petroleum Products (MJ/d),Breakeven Oil Price (usd/bbl),Breakeven Gas Price (usd/kcf),Flare Rate,Oil or Gas or Condensate,Resource Type,Sour or Sweet
Malampaya,Philippines,PHL,South East Asia,11.6348,118.9027,Offshore,20,82.5,1.05987,0.73153,0.0,0.41936,12.09769,3.37276,316.35607,466.52261,354.50887,115.27992,351.24269,0.06448,Light,0,False,0,406.1,284983127.19224,31502961.45331,0.0,2.2,Medium Flare,Gas,Wet gas,Sweet Gas
Malampaya,Philippines,PHL,South East Asia,11.6348,118.9027,Offshore,100,29.8,1.05987,0.73153,0.0,0.41936,12.09769,3.31155,316.35612,395.48548,354.44771,65.94923,329.53625,0.06448,Light,0,False,0,406.1,284983127.19224,31502961.45331,0.0,2.2,Medium Flare,Gas,Wet gas,Sweet Gas
Malikai,Malaysia,MYS,South East Asia,6.3303,115.1197,Offshore,20,82.5,0.0,1.70176,0.00819,0.01961,34.97066,36.62167,405.54871,625.60738,488.64018,216.37664,409.23074,0.06259,Light,1,False,0,341.2,247271826.96994,239279877.1341,36.6,0.0,High Flare,Oil,Light Oil,Sweet Oil
Malikai,Malaysia,MYS,South East Asia,6.3303,115.1197,Offshore,100,29.8,0.0,1.70176,0.008,0.01957,34.97066,36.37988,405.5822,535.10013,488.43188,125.99891,409.10122,0.06259,Light,1,False,0,341.2,247271826.96994,239279877.1341,36.6,0.0,High Flare,Oil,Light Oil,Sweet Oil
Malobalykskoye,Russian Federation,RUS,Russia,60.4713,72.2352,Onshore,20,82.5,0.0,1.25768,0.00454,0.0217,42.57911,57.97857,382.01274,604.3976,501.62111,210.79023,393.60737,1.40571,Regular,1,False,0,164.02733,745825409.19094,693685168.76879,39.4,0.0,High Flare,Oil,Medium Oil,Sour Oil
Malobalykskoye,Russian Federation,RUS,Russia,60.4713,72.2352,Onshore,100,29.8,0.0,1.25768,0.00444,0.02163,42.57911,57.63576,382.09629,537.38834,501.36186,143.96525,393.42309,1.40571,Regular,1,False,0,164.02733,745825409.19094,693685168.76879,39.4,0.0,High Flare,Oil,Medium Oil,Sour Oil
Malongo,Angola,AGO,West Africa,-5.4244,12.0592,Offshore,20,82.5,0.0,1.76803,0.00451,0.02262,54.73534,58.46427,412.82178,693.82254,543.54482,266.10717,427.71537,0.50881,Heavy Oil 20-23,1,False,0,462.82511,14800707.59273,14353292.92203,0.0,0.0,High Flare,Oil,Medium Oil,Sour Oil
Malongo,Angola,AGO,West Africa,-5.4244,12.0592,Offshore,100,29.8,0.0,1.76803,0.0044,0.02257,54.73534,58.20467,412.91057,599.99461,543.37401,172.41567,427.57893,0.50881,Heavy Oil 20-23,1,False,0,462.82511,14800707.59273,14353292.92203,0.0,0.0,High Flare,Oil,Medium Oil,Sour Oil
Manantiales Behr,Argentina,ARG,South America,-45.6348,-67.957,Onshore,20,82.5,0.18808,0.70991,0.00391,0.02132,60.36273,52.35853,401.31682,587.28183,525.17878,172.7333,414.54853,0.16579,Regular,1,False,0,0.70949,157475205.05194,145517074.05756,29.8,0.0,Very Low Flare,Oil,Medium Oil,Sweet Oil
Manantiales Behr,Argentina,ARG,South America,-45.6348,-67.957,Onshore,100,29.8,0.18808,0.70991,0.00382,0.02127,60.36273,52.09333,401.39649,549.25141,524.99324,134.83131,414.4201,0.16579,Regular,1,False,0,0.70949,157475205.05194,145517074.05756,29.8,0.0,Very Low Flare,Oil,Medium Oil,Sweet Oil
Mangala-Bhagyam-Aishwarya,India,IND,South Asia,26.1312,71.41276,Onshore,20,82.5,0.0,0.83904,0.00448,0.02216,26.01418,57.62086,384.43532,547.49391,480.07052,151.23937,396.25454,1.64288,Regular,1,True,0,22.86694,610891083.79284,575204418.2818,36.20761,0.0,Medium Flare,Oil,Medium Oil,Sour Oil
Mangala-Bhagyam-Aishwarya,India,IND,South Asia,26.1312,71.41276,Onshore,100,29.8,0.0,0.83904,0.00438,0.02209,26.01418,57.24371,384.52334,502.51303,479.78139,106.45943,396.05359,1.64288,Regular,1,True,0,22.86694,610891083.79284,575204418.2818,36.20761,0.0,Medium Flare,Oil,Medium Oil,Sour Oil
Manifa,Saudi Arabia,SAU,Middle East,27.7465,49.0941,Offshore,20,82.5,0.06112,0.42502,0.00437,0.02193,12.97488,57.81334,388.43541,508.95727,473.58944,107.9311,401.02617,3.00515,Regular,1,False,0,20.1,5798745005.56573,5504694958.8464,8.5,0.0,Medium Flare,Oil,Medium Oil,Sour Oil
Manifa,Saudi Arabia,SAU,Middle East,27.7465,49.0941,Offshore,100,29.8,0.06112,0.42502,0.00427,0.02187,12.97488,57.47162,388.52178,485.83645,473.33409,84.98562,400.85083,3.00515,Regular,1,False,0,20.1,5798745005.56573,5504694958.8464,8.5,0.0,Medium Flare,Oil,Medium Oil,Sour Oil
Mansuri,Iran,IRN,Middle East,30.88228,48.87777,Onshore,20,82.5,0.01067,1.69205,0.00389,0.02187,50.53235,54.92449,391.85115,651.84532,510.50524,247.69719,404.14813,2.54737,Regular,1,False,0,442.4,406838886.75284,387065134.53265,10.70853,0.0,High Flare,Oil,Medium Oil,Sour Oil
Mansuri,Iran,IRN,Middle East,30.88228,48.87777,Onshore,100,29.8,0.01067,1.69205,0.0038,0.02182,50.53235,54.61299,391.93013,561.94853,510.27273,157.97074,403.97779,2.54737,Regular,1,False,0,442.4,406838886.75284,387065134.53265,10.70853,0.0,High Flare,Oil,Medium Oil,Sour Oil
